epoch,loss_train,loss_validation,perplexity_train,perplexity_validation,learning_rate
0,5.6337531071875935,5.126018149022477,370.630404746352,182.05132913843386,0.5
1,4.984766932544878,4.721028102726474,157.012458626324,121.8442345351076,0.5
2,4.584444698899116,4.320075841440053,105.38177461281896,81.39406308122336,0.5
3,4.212202384019147,3.9437414211587023,72.34686771241685,55.72334449537519,0.5
4,3.89781786596861,3.674806873892316,52.6486505618538,42.514492017900345,0.5
5,3.6759032046900963,3.528506868055707,42.04781989341835,36.64881035238028,0.5
6,3.5271815858023805,3.384307180064174,36.13314631335855,31.713281184212722,0.5
7,3.5498497535003732,3.3337655693959123,37.71144483329042,30.097799121000516,0.5
8,3.33808366044723,3.2136475516520875,29.8810574435496,26.654549814514713,0.5
9,3.188427986908868,3.052885735028595,25.689976275205986,22.672793420232015,0.5
10,3.0832525008150964,2.997714041235348,23.081438059246395,21.392260921902803,0.5
11,2.9835884906111203,2.9422594902043144,20.851081793298103,20.226144936391975,0.5
12,2.901517326110519,2.7642431383569654,19.182987983885436,16.89781325198591,0.5
13,2.844042101486206,2.78582663369128,18.1465756182115,17.270190240095218,0.5
14,2.61401396473532,2.527499780677759,14.366299999286568,13.266430319688572,0.25
15,2.525278005561568,2.4579068544192815,13.096347741423537,12.37105469854749,0.25
16,2.443142493920712,2.3850597258383472,12.050767118780103,11.494722827808799,0.25
17,2.399446297460046,2.3702482475767246,11.519157670030147,11.312028199339066,0.25
18,2.3365096706036588,2.311827210033029,10.799458187086822,10.657820049058389,0.25
19,2.2744565823529794,2.2229252012012104,10.133702364280284,9.721583918705027,0.25
20,2.224965308604174,2.190137715480579,9.6340384467351,9.419993038248585,0.25
21,2.213929174347348,2.2117997918900842,9.519870360978054,9.623145755360555,0.25
22,2.0385699179844345,2.0185544400518567,7.974921039151395,7.9086034073870275,0.125
23,1.9890473826871982,1.9906727722245918,7.57747138618332,7.683070957470245,0.125
24,1.958101657628435,1.949544615067613,7.33784268163586,7.3568743886912085,0.125
25,1.9363474818092263,1.9416339659589295,7.174723921564958,7.306752225207571,0.125
26,1.9109834421938043,1.9007419607858942,6.991233464943907,6.99919361853625,0.125
27,1.8803904615319051,1.877002818500018,6.778544998652056,6.8362623585171844,0.125
28,1.8586205404701275,1.8760063990204734,6.625996409484347,6.836143845948167,0.125
29,1.8289607101168088,1.8387109420963497,6.428631920313909,6.572564813466117,0.125
30,1.8032068787669309,1.8204031527296296,6.2600188347709445,6.440222938030292,0.125
31,1.779153095955982,1.8089491986809447,6.106221429106608,6.37419550208111,0.125
32,1.7579051606567295,1.7637576900097256,5.9738168011194075,6.08044362150696,0.125
33,1.7348522016770656,1.7966167519743832,5.834645968841259,6.278637618239061,0.125
34,1.6322676133508498,1.6534825883829556,5.260747324717581,5.435443395369858,0.0625
35,1.6064403601239303,1.6318492607885022,5.119464702041751,5.316754420471394,0.0625
36,1.5887056798511372,1.6143575124720289,5.028171940814166,5.218887485698643,0.0625
37,1.5739601793457545,1.6065369146668746,4.951815636882506,5.181316499004222,0.0625
38,1.5620206317162164,1.5867104315941833,4.891266310189358,5.075561642138975,0.0625
39,1.5504066046420513,1.590231711808612,4.833132968959676,5.08941753679952,0.0625
40,1.4942114208067518,1.5263429376295707,4.565991680778345,4.771104231365699,0.03125
41,1.4769013283499097,1.5224404744129465,4.485544650458538,4.7498796029974475,0.03125
42,1.467643470754709,1.503689261036305,4.4432724992105745,4.6619075727475465,0.03125
43,1.4601293501636567,1.499424448710915,4.409754078725436,4.639282210629842,0.03125
44,1.4519988389797527,1.5027596518730584,4.372184033806189,4.655406076242875,0.03125
45,1.4223654012127467,1.4624280828637437,4.243907383594429,4.4675820024567034,0.015625
46,1.4147418217991694,1.4601395879024135,4.209685399459122,4.456791385484579,0.015625
47,1.4078877821878244,1.4486861880372761,4.179819892525889,4.405820204649236,0.015625
48,1.402608484169588,1.449589603212568,4.158031049700925,4.408101417925665,0.015625
49,1.3886279592614381,1.4293375112219486,4.098565869149276,4.319038848843945,0.0078125
50,1.3840794870918576,1.4269410287515043,4.080550807335162,4.307986091056698,0.0078125
51,1.3799212878687863,1.4235036687348217,4.063467440561226,4.29245466812731,0.0078125
52,1.3781956698094628,1.4198347003346943,4.055945005065672,4.276664477789872,0.0078125
53,1.3753120175649243,1.4156728924368136,4.043914404650076,4.258837707919943,0.0078125
