epoch,loss_train,loss_validation,perplexity_train,perplexity_validation,learning_rate
0,6.189802524010279,5.546205318501323,630.5644525108678,268.2845837956253,0.5
1,5.300206845378425,4.7645256456323635,216.1837575233163,122.68182250126418,0.5
2,4.672805372735058,4.334870090298376,113.8873356385322,79.76218736397679,0.5
3,4.344957121556206,4.130392728490024,81.62144076257,65.08138343070445,0.5
4,4.076575311569103,3.954276246904026,62.36326734207357,54.58926090873705,0.5
5,3.880427726288659,3.7964421334724054,51.164102680857646,46.68267288076542,0.5
6,3.7726125040818563,3.8127127327773844,45.93989381328421,47.396646349543744,0.5
7,3.511470055314738,3.5041493121951834,35.45394552314051,34.91711018073155,0.25
8,3.371989401554432,3.448473385597768,30.669774786446723,32.987030911760584,0.25
9,3.282718006573857,3.357473422028017,28.02360164835934,30.117679547743165,0.25
10,3.176432046123164,3.298260520341272,25.150138027214677,28.394509488587268,0.25
11,3.064165674425112,3.194917614332634,22.43499487387698,25.57539380384135,0.25
12,3.036702453430183,3.13073620913975,21.818036214875406,23.996521169190295,0.25
13,2.875638343956977,2.9934519152063395,18.543019264545837,20.896772822862655,0.25
14,2.760740557374143,2.9269494732380736,16.49392241639433,19.515885717084117,0.25
15,2.6811086537701145,2.8639493788336283,15.23165816992202,18.339598481234706,0.25
16,2.670486760001057,2.9328621827891883,15.056487134403469,19.68791398969209,0.25
17,2.318949613895641,2.5208153507615014,10.612531716565739,13.005648884124142,0.125
18,2.185608562671758,2.4436742276175827,9.231798249605465,12.042419613263581,0.125
19,2.1247371542003584,2.391393264636851,8.657227608879177,11.41628684318319,0.125
20,2.0648359516070913,2.358043750971641,8.151747751766765,11.039697413743056,0.125
21,2.0243173620204136,2.291040881826301,7.822026910241926,10.329827925995943,0.125
22,1.936119245718751,2.27575269456159,7.14763250582964,10.167487762085258,0.125
23,1.8876847077924235,2.1776532041554066,6.811034705196693,9.206909913704493,0.125
24,1.8258022936622305,2.161959953653203,6.388347702484683,9.071212084111231,0.125
25,1.7578091666880955,2.0728553102182152,5.957025364632595,8.285304548958127,0.125
26,1.7590068808555945,2.105274223103597,5.968400210935842,8.565690174382148,0.125
27,1.525807529179553,1.8865863673650007,4.71799736631802,6.8639184623391785,0.0625
28,1.4545803663261032,1.8517003618116559,4.380645079083071,6.624098124139819,0.0625
29,1.44088643411523,1.8271198906068622,4.31425044174732,6.463532238428377,0.0625
30,1.4063583857474218,1.805375222362779,4.166693212699331,6.322030878423069,0.0625
31,1.366814145358962,1.7873055447387256,4.001494867939075,6.204071419736149,0.0625
32,1.3417668596290873,1.7516642132755809,3.8985764986594464,5.986240209347212,0.0625
33,1.3148698056790793,1.7106230246274379,3.7930942429083028,5.744151384374453,0.0625
34,1.271125076303534,1.680542120058464,3.6294672832832036,5.567609932558212,0.0625
35,1.2564032219514876,1.659447428209216,3.575550884188552,5.449939324895518,0.0625
36,1.2215156258525937,1.6263974987864838,3.44947718107848,5.269716556561123,0.0625
37,1.2000326748110888,1.6032865392552376,3.3737589846651033,5.1473816494226865,0.0625
38,1.186787270787617,1.5906454506172387,3.3273292091806144,5.0803170609515265,0.0625
39,1.155389878055881,1.5709109677452249,3.223005457165297,4.98229542605703,0.0625
40,1.1436380967056383,1.555609438283768,3.1838809958451155,4.903630386475241,0.0625
41,1.1370996888317835,1.5366128421528185,3.163381981816852,4.809161835467247,0.0625
42,1.0961024735248441,1.5376793188585898,3.0340090623213833,4.813587285539736,0.0625
43,1.0022546909082883,1.4135876731034465,2.7600664301616042,4.244186386714237,0.03125
44,0.9595551008674185,1.3969778318229864,2.641746033214711,4.171436170406002,0.03125
45,0.9444597425880463,1.376428631343491,2.6005714549803707,4.085436895755021,0.03125
46,0.9249283091492139,1.374758772813062,2.5492546152930133,4.0761486534275315,0.03125
47,0.9129875261719818,1.3761645641770601,2.51811094293047,4.083336334061444,0.03125
48,0.879720326795977,1.3140037981755839,2.435825768596673,3.833389417663653,0.015625
49,0.8618136223396012,1.2933832074225051,2.391475969288663,3.753890252880226,0.015625
50,0.849342513800709,1.283024662873445,2.361232888306897,3.7152781902819374,0.015625
51,0.8406562080941357,1.276664674795612,2.3401713401241486,3.6905574182338374,0.015625
52,0.8309556048697205,1.2719868029211527,2.3171326038945734,3.6723816101746887,0.015625
53,0.8256325584420667,1.2643770637147937,2.3045201352657267,3.644599774046782,0.015625
54,0.8164396374245878,1.2789915689512754,2.2829416499787683,3.6987241703090414,0.015625
55,0.8044994796700792,1.2309474918364383,2.256014884877329,3.5214307610842086,0.0078125
56,0.7959710862925653,1.2194264716693959,2.2365611908116056,3.4801950649856357,0.0078125
57,0.7903628913531063,1.2168826945960556,2.223624199131203,3.4708604267587067,0.0078125
58,0.7851326933001421,1.2159068393406,2.2118642242915527,3.468008590662089,0.0078125
